
bin.js                    | 2 kB |   2.9 kB/s | ETA: 00:00:00 | 100%

coverage-map.js           | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

demo.png                  | 4 kB |   4.0 kB/s | ETA: 00:00:02 |  28%
demo.png                  | 14 kB |  14.2 kB/s | ETA: 00:00:00 | 100%

help.md                   | 1 kB |   1.2 kB/s | ETA: 00:00:00 | 100%

eslint.config.js          | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

help.txt                  | 3 kB |   3.4 kB/s | ETA: 00:00:00 | 100%

index.d.ts                | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  53%
index.d.ts                | 7 kB |   7.4 kB/s | ETA: 00:00:00 | 100%

index.js                  | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  59%
index.js                  | 6 kB |   6.7 kB/s | ETA: 00:00:00 | 100%

colors.js                 | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  80%
